Country Name,Gender,Lifeexp
Burkina Faso,1,60
Burkina Faso,2,58
Burkina Faso,3,62
DR Congo,1,60
DR Congo,2,58
DR Congo,3,62
Mozambique,1,60
Mozambique,2,57
Mozambique,3,63
Mali,1,59
Mali,2,58
Mali,3,61
Zimbabwe,1,59
Zimbabwe,2,56
Zimbabwe,3,62
Guinea,1,59
Guinea,2,58
Guinea,3,60
Ivory Coast,1,59
Ivory Coast,2,58
Ivory Coast,3,60
Namibia,1,58
Namibia,2,55
Namibia,3,62
Eswatini,1,56
Eswatini,2,53
Eswatini,3,61
Somalia,1,56
Somalia,2,54
Somalia,3,58
South Sudan,1,56
South Sudan,2,54
South Sudan,3,57
Central African Republic,1,54
Central African Republic,2,52
Central African Republic,3,57
Nigeria,1,54
Nigeria,2,53
Nigeria,3,54
Lesotho,1,53
Lesotho,2,50
Lesotho,3,56
Chad,1,53
Chad,2,51
Chad,3,55
